GBR_NAME,LABEL_ID,X_COORD,Y_COORD
U/N Reef,10-330,142.59162903,-10.77950287
Harrington Shoal,10-331,142.71060181,-10.79659367
U/N Reef,10-332,142.57356262,-10.82426262
U/N Reef,10-333,142.57661438,-10.8354435
Four Fathom Patches,10-334,142.68708801,-10.81985474
Harrington Reef,10-335,142.72311401,-10.82125187
U/N Cay,10-336,142.7749176,-10.81932735
Wyborn Reef,10-336,142.76223755,-10.82104492
U/N Reef,10-337,142.92880249,-10.80788326
Womer Cay,10-338,142.9728241,-10.7936697
Womer Reef,10-338,142.98362732,-10.79982185
Brewis Reef,10-339,142.69335938,-10.88696003
Turtle Island Reef,10-340,142.69628906,-10.88979912
Shortland Reef,10-341,142.77270508,-10.90133476
Trochus Reef,10-342,142.63183594,-10.92067909
U/N Reef,10-299,143.08961487,-10.77538872
Sextant Rock,10-313,142.54858398,-10.69512177
Ida Reef,10-314,142.55873108,-10.71000767
Sana Rock,10-315,142.60128784,-10.69967842
Tree Reef,10-316,142.5970459,-10.70428848
Brush Islet Reef,10-317,142.59786987,-10.70888901
Albany Island Reef (No 1),10-318a,142.5929718,-10.71530914
Albany Island Reef (No 2),10-318b,142.61784363,-10.72830391
Albany Island Reef (No 3),10-318c,142.62330627,-10.7466259
Albany Island Reef (No 4),10-318d,142.60494995,-10.73894119
Mai Reef,10-320,142.62464905,-10.72395611
Pitt Rock,10-320,142.62310791,-10.72764206
Albany Rock Reef,10-321,142.62982178,-10.71882725
North Brother Reef,10-322,142.673172,-10.70076275
North Brother Rock,10-322,142.66996765,-10.70412922
Middle Brother Reef,10-323,142.68544006,-10.71178818
South Brother Reef,10-324,142.6918335,-10.71665955
South Brother Rock,10-324,142.68823242,-10.7186861
North Ledge,10-325,142.73832703,-10.68028641
Meggi-Damun Reef,10-326,142.78610229,-10.68252754
South Ledge,10-327,142.73246765,-10.70542622
U/N Rock,10-327,142.78440857,-10.72022152
Ulfa Reef,10-328,142.6144104,-10.75758648
Ulfa Rock,10-328,142.61434937,-10.75757217
U/N Cay,10-329,142.62452698,-10.76840973
Ariel Bank,10-329,142.62519836,-10.77074623
U/N Reef,10-401,143.80076599,-10.80318642
U/N Reef,10-402,144.0065918,-10.80548668
U/N Reef,10-403,143.99606323,-10.82373524
U/N Reef,10-404,143.82380676,-10.82510948
U/N Reef,10-405,143.75805664,-10.84616756
U/N Reef,10-406,144.01449585,-10.84487152
U/N Reef,10-407a,143.98451233,-10.86612701
Turtle Head Island Reef (No 1),10-343a,142.70593262,-10.93688488
Turtle Head Island Reef (No 2),10-343b,142.7061615,-10.94753647
Tern Reef,10-344,142.76638794,-10.99002266
U/N Reef,10-348,143.25215149,-10.68365002
U/N Reef,10-349,143.43374634,-10.69710159
U/N Reef,10-350,143.46632385,-10.69664955
U/N Reef,10-351,143.19032288,-10.73180485
U/N Reef,10-352,143.33677673,-10.73468304
U/N Cay,10-353,143.08598328,-10.74636841
U/N Reef,10-353,143.09373474,-10.75188351
U/N Reef,10-354,143.3717804,-10.75227928
U/N Reef,10-355,143.32429504,-10.75677586
U/N Reef,10-356,143.41204834,-10.77616978
U/N Reef,10-357,143.35340881,-10.80583096
U/N Reef,10-358,143.3356781,-10.83780289
U/N Reef,10-359,143.45957947,-10.94054508
U/N Reef,10-360,143.298172,-10.83911419
U/N Reef,10-361,143.40377808,-10.84895229
U/N Reef,10-362,143.23895264,-10.85297012
U/N Reef,10-363,143.24015808,-10.89503193
U/N Reef,10-364,143.21000671,-10.89760017
Linda Reef,10-365,143.17781067,-10.90662861
U/N Reef,10-366,143.2897644,-10.90393257
U/N Reef,10-367,143.38287354,-10.90547371
U/N Reef,10-368,143.31407166,-10.91513443
U/N Reef,10-369,143.2959137,-10.93176079
U/N Reef,10-370,143.21829224,-10.93246841
U/N Reef,10-371,143.24234009,-10.9469099
U/N Reef,10-372,143.15708923,-10.9502964
U/N Reef,10-373,143.13014221,-10.95202541
U/N Reef,10-374,143.35983276,-10.93915176
U/N Reef,10-375a,143.3997345,-10.96371174
U/N Reef,10-375b,143.4256134,-10.9675951
U/N Cay,10-376,143.11880493,-10.9838953
U/N Reef,10-376,143.1255188,-10.98665619
U/N Reef,10-378,143.51068115,-10.90591812
U/N Reef,10-381,143.9644928,-10.68788147
U/N Reef,10-382,143.78704834,-10.70289612
U/N Reef,10-384,143.96377563,-10.70974445
U/N Reef,10-385,143.95874023,-10.72497368
U/N Reef,10-386,143.97961426,-10.72316742
U/N Reef,10-387,143.52099609,-10.69328785
U/N Reef,10-389,143.96478271,-10.73436737
U/N Reef,10-390,143.9733429,-10.7404232
Triangle Reef,10-391,143.98234558,-10.75539112
U/N Reef,10-392,143.60650635,-10.74197769
U/N Reef,10-393,143.74429321,-10.74233627
U/N Reef,10-394,143.50572205,-10.76967049
U/N Reef,10-395,143.69085693,-10.78934574
U/N Reef,10-396,143.71661377,-10.77029133
U/N Reef,10-397,143.84376526,-10.76665306
U/N Reef,10-398,143.97547913,-10.77815247
U/N Reef,10-399,143.98529053,-10.78567314
U/N Reef,10-400,143.98979187,-10.79434872
U/N Reef,10-426,144.01452637,-10.95084667
U/N Reef,10-427,143.51144409,-10.94451904
U/N Reef,10-428a,143.99876404,-10.83556843
U/N Reef,10-428b,144.00891113,-10.83007717
U/N Reef,10-429,142.56591797,-10.72224331
U/N Reef,10-430,142.57713318,-10.72992325
U/N Reef,10-431,142.5796051,-10.79875946
U/N Reef,10-432,142.55267334,-10.83199787
U/N Reef,10-434,142.60444641,-10.75718403
U/N Reef,10-436,143.37953186,-10.84018993
U/N Reef,10-437,143.44622803,-10.89760876
U/N Reef,10-438,143.55375671,-10.93063068
U/N Reef,10-439,143.62937927,-10.97612762
U/N Reef,10-440,143.71253967,-10.94218445
U/N Reef,11-325,143.7671814,-11.01291656
U/N Reef,10-442,143.77836609,-10.98402596
U/N Reef,10-443,143.95599365,-10.74168205
U/N Reef,10-444,144.00192261,-10.93507957
U/N Reef,10-445,144.0340271,-10.91252613
U/N Reef,10-800,142.73902893,-10.81070328
U/N Reef,10-801,142.74595642,-10.99333572
U/N Rock,10-804,142.63145447,-10.78008842
U/N Rock,10-805,142.78529358,-10.72495556
U/N Rock,10-806,142.93882751,-10.81221771
U/N Reef,10-807,143.953125,-10.68521976
U/N Reef,10-407b,143.99212646,-10.86003113
U/N Reef,10-408,143.65881348,-10.85639668
U/N Reef,10-409,143.71118164,-10.85936832
U/N Reef,10-410,143.79341125,-10.86957836
U/N Reef,10-411,143.47001648,-10.80509758
U/N Reef,10-411b,143.58657837,-10.8515749
U/N Reef,10-412,144.01409912,-10.88740253
U/N Reef,10-413,143.55236816,-10.89570427
U/N Reef,10-414,144.01809692,-10.92669582
U/N Reef,10-415,143.57276917,-10.91156006
U/N Reef,10-416a,144.01524353,-10.96391392
U/N Reef,10-416b,144.03215027,-10.96593094
U/N Reef,10-417,143.46723938,-10.88192558
U/N Reef,10-418a,144.03520203,-10.9968214
U/N Reef,10-418b,144.0181427,-10.98606586
U/N Reef,10-419a,144.01290894,-11.00776577
U/N Reef,10-419b,144.01309204,-11.01794815
U/N Reef,10-420,143.99504089,-11.01778316
U/N Reef,10-421,143.36489868,-10.99041271
U/N Reef,10-422,143.29489136,-10.98697853
U/N Reef,10-423,143.66320801,-10.90422535
U/N Reef,10-424,143.75733948,-10.89969254
U/N Reef,10-425,143.53411865,-10.91361904
U/N Reef,11-034,143.09963989,-11.17448425
Arnold Reef,11-001,142.99273682,-11.00683498
Thomson Islet Reef,11-002,142.75546265,-11.02495193
U/N Reef,11-003,142.7832489,-11.0704155
Gilmore Bank,11-004,142.83700562,-11.15866852
U/N Reef,11-005,142.81132507,-11.18551826
U/N Reef,11-006,142.81231689,-11.19433308
U/N Reef,11-007,142.82400513,-11.23168468
U/N Reef,11-008,142.81898499,-11.24888897
Bushy Island Reef,11-009,142.87251282,-11.2572403
U/N Island,11-009a,142.87362671,-11.25265408
U/N Island,11-009b,142.87640381,-11.2518301
Cairncross Islets Reef,11-010,142.92893982,-11.24986839
U/N Reef,11-011a,142.82872009,-11.29018688
U/N Reef,11-011b,142.83093262,-11.29393196
